========================================================================
LISTADO DE MEDICAMENTOS DE USO COMUN EN REPUBLICA DOMINICANA
Referencia por categoria terapeutica - Base para proyecto/app
========================================================================

NOTAS IMPORTANTES (leer antes de usar):
1. Esta NO es una copia del Registro Sanitario oficial de DIGEMAPS. DIGEMAPS
   (Direccion General de Medicamentos, Alimentos y Productos Sanitarios,
   digemaps.gob.do) es la autoridad que otorga los registros sanitarios en
   RD y publica boletines mensuales en PDF con miles de productos
   registrados por decadas, pero esos boletines solo traen nombre
   comercial/laboratorio/numero de registro, NO dosis ni indicacion clinica.
2. Este archivo reune ~270 principios activos de uso amplio/comun en el
   mercado farmaceutico dominicano y latinoamericano, con informacion
   farmacologica estandar (dosis, indicacion, presentacion).
3. Los NOMBRES COMERCIALES listados son referencias generales (marcas
   ampliamente distribuidas en la region); la disponibilidad exacta y el
   estatus de registro vigente en RD puede variar por laboratorio/tiempo.
   Para verificar el registro sanitario de un producto especifico, consulta
   digemaps.gob.do
4. Las DOSIS son valores de referencia para adulto promedio (via oral salvo
   que se indique otra via) y no sustituyen indicacion medica ni el
   prospecto/ficha tecnica oficial del fabricante. No usar para
   autoprescripcion.
5. Formato de cada linea:
   Generico | Nombres comerciales comunes | Dosis habitual adulto | Indicacion principal | Presentacion | Via
Aripiprazol | Abilify | 10-30 mg/dia | Esquizofrenia, trastorno bipolar | Tab | Oral
Clorpromazina | Largactil | 25-100 mg c/8h | Psicosis, agitacion, nauseas severas | Tab, ampolla | Oral/IM

## 34. ANTICONVULSIVANTES
Acido valproico | Depakene, Valcote | 500-1500 mg/dia | Epilepsia, trastorno bipolar, migraña | Tab, jarabe | Oral
Carbamazepina | Tegretol | 400-1200 mg/dia | Epilepsia, dolor neuropatico, trastorno bipolar | Tab | Oral
Fenitoina | Epamin, Dilantin | 300-400 mg/dia | Epilepsia (convulsiones tonico-clonicas) | Tab, ampolla | Oral/IV
Levetiracetam | Keppra | 500-1500 mg c/12h | Epilepsia | Tab | Oral
Lamotrigina | Lamictal | 100-400 mg/dia (titulacion gradual) | Epilepsia, trastorno bipolar | Tab | Oral
Gabapentina | Neurontin | 300-1800 mg/dia (dividido) | Dolor neuropatico, epilepsia | Cap | Oral
Pregabalina | Lyrica | 150-600 mg/dia (dividido) | Dolor neuropatico, fibromialgia, epilepsia | Cap | Oral
Fenobarbital | Fenobarbital | 100-200 mg/dia | Epilepsia (uso menos frecuente actualmente) | Tab, ampolla | Oral/IM

## 35. RELAJANTES MUSCULARES
Ciclobenzaprina | Flexeril | 5-10 mg c/8h | Espasmo muscular agudo | Tab | Oral
Baclofeno | Lioresal | 5-20 mg c/8h | Espasticidad muscular | Tab | Oral
Tizanidina | Zanaflex | 2-4 mg c/6-8h | Espasticidad, contractura muscular | Tab | Oral
Orfenadrina | Norflex | 100 mg c/12h | Dolor muscular, espasmo | Tab, ampolla | Oral/IM
Metocarbamol | Robaxin | 750-1500 mg c/6-8h | Espasmo muscular agudo | Tab, ampolla | Oral/IV

## 36. ANESTESICOS LOCALES
Lidocaina | Xylocaine | Segun procedimiento | Anestesia local, arritmias (IV) | Ampolla, gel, spray, parche | Local/IV
Bupivacaina | Marcaine | Segun procedimiento | Anestesia local/regional | Ampolla | Local
Benzocaina | Anbesol, Orajel | Aplicacion topica segun necesidad | Alivio de dolor bucal/dental local | Gel topico | Topico
Prilocaina + Lidocaina | EMLA | Aplicacion topica previa a procedimiento | Anestesia topica previa a punciones | Crema | Topico

## 37. VITAMINAS Y SUPLEMENTOS
Acido folico | Acifol | 0.4-5 mg/dia | Prevencion de anemia, embarazo | Tab | Oral
Complejo B | Neurobion, Bedoyecta | 1 tab/dia o segun ampolla | Deficiencias de vitaminas del grupo B, neuropatia | Tab, ampolla | Oral/IM
Vitamina C | Redoxon | 500-1000 mg/dia | Suplemento, resfriados, cicatrizacion | Tab efervescente, masticable | Oral
Vitamina D3 (Colecalciferol) | Vitalipid, Devirol | 800-2000 UI/dia | Deficiencia de vitamina D, salud osea | Tab, gotas | Oral
Sulfato ferroso | Ferranin, Fer-In-Sol | 300 mg/dia (segun contenido de hierro elemental) | Anemia ferropenica | Tab, jarabe, gotas | Oral
Calcio + Vitamina D | Caltrate, Calcimax | 1-2 tab/dia | Osteoporosis, deficiencia de calcio | Tab masticable | Oral
Multivitaminico | Centrum, Supradyn | 1 tab/dia | Suplemento nutricional general | Tab | Oral
Vitamina B12 (Cianocobalamina) | Cobalamina | Segun deficiencia | Anemia perniciosa, neuropatia | Ampolla, tab | Oral/IM

## 38. HORMONAS TIROIDEAS
Levotiroxina | Eutirox, Synthroid | 25-150 mcg/dia (individualizada) | Hipotiroidismo | Tab | Oral
Metimazol | Tapazol | 5-40 mg/dia | Hipertiroidismo | Tab | Oral
Propiltiouracilo | PTU | 100-300 mg/dia | Hipertiroidismo (incluye embarazo) | Tab | Oral

## 39. ANTICONCEPTIVOS HORMONALES
Etinilestradiol + Levonorgestrel | Microgynon, Nordette | 1 tab/dia (ciclo de 21-28 dias) | Anticoncepcion | Tab | Oral
Etinilestradiol + Drospirenona | Yasmin | 1 tab/dia | Anticoncepcion | Tab | Oral
Levonorgestrel | Postinor (anticoncepcion de emergencia) | 1.5 mg dosis unica | Anticoncepcion de emergencia | Tab | Oral
Medroxiprogesterona (inyectable) | Depo-Provera | 150 mg cada 3 meses | Anticoncepcion | Ampolla IM | IM
Implante de etonogestrel | Implanon, Nexplanon | Insercion subdermica (dura 3 años) | Anticoncepcion de largo plazo | Implante subdermico | Subdermico

## 40. DERMATOLOGICOS TOPICOS
Clobetasol | Dermovate | Aplicacion 1-2 veces/dia (uso corto) | Dermatitis severa, psoriasis | Crema, ungüento | Topico
Hidrocortisona topica | Hidrocort crema | Aplicacion 1-2 veces/dia | Dermatitis leve, irritacion cutanea | Crema | Topico
Peroxido de benzoilo | PanOxyl | Aplicacion 1-2 veces/dia | Acne | Gel, crema | Topico
Adapaleno | Differin | Aplicacion nocturna | Acne | Gel, crema | Topico
Tretinoina | Retin-A | Aplicacion nocturna | Acne, fotoenvejecimiento | Crema, gel | Topico
Mupirocina | Bactroban | Aplicacion 3 veces/dia | Infecciones bacterianas cutaneas | Ungüento | Topico
Calamina | Locion de calamina | Aplicacion segun necesidad | Irritacion cutanea, prurito, varicela | Locion | Topico
Oxido de zinc | Desitin | Aplicacion segun necesidad | Dermatitis del pañal, proteccion cutanea | Crema, pasta | Topico

## 41. OFTALMICOS
Tobramicina oftalmica | Tobrex | 1-2 gotas c/4-6h | Conjuntivitis bacteriana | Gotas, ungüento | Oftalmico
Cloranfenicol oftalmico | Cloramfenicol colirio | 1-2 gotas c/4-6h | Conjuntivitis bacteriana | Gotas | Oftalmico
Timolol oftalmico | Timoptic | 1 gota c/12h-24h | Glaucoma | Gotas | Oftalmico
Latanoprost | Xalatan | 1 gota/noche | Glaucoma | Gotas | Oftalmico
Lagrimas artificiales | Refresh Tears, Systane | Segun necesidad | Ojo seco, irritacion ocular | Gotas | Oftalmico
Ketotifeno oftalmico | Zaditen colirio | 1 gota c/12h | Conjuntivitis alergica | Gotas | Oftalmico

## 42. OTICOS
Ciprofloxacino otico | Cetraxal | 3-4 gotas c/12h | Otitis externa | Gotas | Otico
Neomicina + Polimixina + Hidrocortisona | Otosporin | 3-4 gotas c/6-8h | Otitis externa con inflamacion | Gotas | Otico
Carbamida peroxido | Debrox | Segun necesidad | Remocion de cerumen | Gotas | Otico

## 43. ANTIGOTOSOS
Alopurinol | Zyloprim | 100-300 mg/dia | Gota, hiperuricemia | Tab | Oral
Colchicina | Colchicina | 0.5-1.2 mg/dia | Crisis aguda de gota | Tab | Oral
Febuxostat | Uloric | 40-80 mg/dia | Gota, hiperuricemia | Tab | Oral

## 44. UROLOGICOS / PROSTATA
Tamsulosina | Flomax | 0.4 mg/dia | Hiperplasia prostatica benigna | Cap liberacion prolongada | Oral
Finasterida | Proscar, Propecia | 1-5 mg/dia (segun indicacion) | Hiperplasia prostatica, alopecia androgenica | Tab | Oral
Sildenafil | Viagra | 50-100 mg segun necesidad | Disfuncion erectil | Tab | Oral
Oxibutinina | Ditropan | 5 mg c/8-12h | Vejiga hiperactiva, incontinencia urinaria | Tab | Oral

========================================================================
FIN DEL LISTADO
========================================================================
Fuente de verificacion oficial para registro sanitario vigente en RD:
DIGEMAPS - Direccion General de Medicamentos, Alimentos y Productos
Sanitarios - https://digemaps.gob.do (Tel. 809-541-3121)

Recuerda: este archivo es una referencia farmacologica general para tu
proyecto/app, no un documento medico ni legal. Antes de usarlo en un
producto real (especialmente si mostrara dosis a usuarios finales),
conviene validar cada entrada contra una fuente farmaceutica oficial
(vademecum, ficha tecnica del fabricante, o el registro de DIGEMAPS).
========================================================================
